SGL,Transect #,TransectMeterPlot,Genus,Species,Species common,Daubenmeyer,TransectLattitude ,TransectLongitude ,Heading,BurnDate,YearSinceBurn,CollectedDate,DateCollected,Time Category,Burn Unit,Days Since Burn,Notes,Cleaning notes
300,9,15m,Kalmia,angustifolia,sheep laurel,3,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,20m,Aronia,melanocarpa,black chokeberry,2,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,20m,Vaccinium,angustifolium,lowbush blueberry,2,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,20m,Quercus,ilicifolia,scrub oak,1,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,20m,Gaultheria,procumbens,teaberry,1,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
211,1,5m,Potentilla,simplex,common cinquefoil,3,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,5m,Rubus,flagellaris,northern dewberry,1,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,"Carex morpho 1, thicker than penn",
211,1,5m,Carex,sp.,Carex morpho 1,2,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,Changed from carex sp. To carex morpho 1
211,1,5m,Microstegium,vimineum,Japanese stiltgrass,2,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,5m,Betula,lenta,black birch,2,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,10m,Rubus,allegheniensis ,Allegheny blackberry,1,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,10m,Potentilla,simplex,common cinquefoil,3,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,10m,Betula,lenta,black birch,2,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,10m,Carex,sp.,Carex morpho 1,2,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,Carex morpho 1,Changed from carex sp. To carex morpho 1
211,1,10m,Microstegium,vimineum,Japanese stiltgrass,2,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,10m,Viola,sagittata,arrowleaf violet,1,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,10m,Dennstaedtia,punctilobula,hay-scented fern,1,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,10m,Lysimachia,quadrifolia,whorled yellow loostrife,1,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,15m,Dennstaedtia,punctilobula,hay-scented fern,2,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,15m,Lysimachia,quadrifolia,whorled yellow loostrife,3,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,15m,Rubus,allegheniensis ,Allegheny blackberry,1,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,15m,Rubus,flagellaris,northern dewberry,1,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,20m,Lysimachia,quadrifolia,whorled yellow loostrife,2,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,20m,Microstegium,vimineum,Japanese stiltgrass,2,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,20m,Dennstaedtia,punctilobula,hay-scented fern,2,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,20m,Betula,lenta,black birch,1,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,5m,Carex,pensylvanica,PA sedge,3,"40°31'29"" N","76°34'0"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,5m,Lysimachia,quadrifolia,whorled yellow loostrife,3,"40°31'29"" N","76°34'0"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,5m,Rubus,allegheniensis,Allegheny blackberry,1,"40°31'29"" N","76°34'0"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,5m,Betula,lenta,black birch,1,"40°31'29"" N","76°34'0"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,10m,Rubus,allegheniensis,Allegheny blackberry,2,"40°31'29"" N","76°34'0"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,10m,Carex,pensylvanica,PA sedge,3,"40°31'29"" N","76°34'0"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,10m,Lysimachia,quadrifolia,whorled yellow loostrife,2,"40°31'29"" N","76°34'0"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,15m,Lysimachia,quadrifolia,whorled yellow loostrife,3,"40°31'29"" N","76°34'0"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,15m,Carex,pensylvanica,PA sedge,3,"40°31'29"" N","76°34'0"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,15m,Carex,blanda,woodland sedge,1,"40°31'29"" N","76°34'0"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,15m,Rubus,flagellaris,northern dewberry,1,"40°31'29"" N","76°34'0"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,20m,Maianthemum,racemosum,false Solomon's seal,1,"40°31'29"" N","76°34'0"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,20m,Lysimachia,quadrifolia,whorled yellow loostrife,1,"40°31'29"" N","76°34'0"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,3,20m,Dichanthelium,clandestinum,deer tongue,2,"40°31'29"" N","76°34'5"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,3,20m,Lysimachia,quadrifolia,whorled yellow loostrife,1,"40°31'29"" N","76°34'5"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,3,20m,Carex,blanda,woodland sedge,1,"40°31'29"" N","76°34'5"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,3,20m,Microstegium,vimineum,Japanese stiltgrass,2,"40°31'29"" N","76°34'5"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,3,20m,Dennstaedtia,punctilobula,hay-scented fern,1,"40°31'29"" N","76°34'5"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,3,20m,Betula,lenta,black birch,2,"40°31'29"" N","76°34'5"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,3,15m,Betula,lenta,black birch,3,"40°31'29"" N","76°34'5"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,3,15m,Lysimachia,quadrifolia,whorled yellow loostrife,2,"40°31'29"" N","76°34'5"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,3,15m,Carex,blanda,woodland sedge,2,"40°31'29"" N","76°34'5"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,3,15m,Dichanthelium,clandestinum,deer tongue,1,"40°31'29"" N","76°34'5"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,3,15m,Rubus,flagellaris,northern dewberry,1,"40°31'29"" N","76°34'5"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,3,15m,Carex,pensylvanica,PA sedge,2,"40°31'29"" N","76°34'5"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,3,10m,Rubus,allegheniensis,Allegheny blackberry,2,"40°31'29"" N","76°34'5"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,3,10m,Carex,pensylvanica,PA sedge,1,"40°31'29"" N","76°34'5"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
